taxa_name,Common Name,Scientific Name,PHYLUM,CLASS,ORDER,FAMILY,GENUS,Temp,Trophic class,Tolerance,Stream flow,Origin
Acipenser brevirostrum,Shortnose Sturgeon,Acipenser brevirostrum,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,ACIPENSER,,,,,
Acipenser oxyrhynchus,Atlantic sturgeon,Acipenser oxyrhynchus,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,ACIPENSER,,,,,
Alosa aestivalis,Blueback Herring,Alosa aestivalis,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,ALOSA,,,,,
Alosa mediocris,Hickory Shad,Alosa mediocris,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,ALOSA,,,,,
Alosa pseudoharengus,Alewife,Alosa pseudoharengus,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,ALOSA,,,,,
Alosa sapidissima,American Shad,Alosa sapidissima,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,ALOSA,,,,,
Aluterus schoepfi,ORANGE FILEFISH,Aluterus schoepfi,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,MONACANTHIDAE,ALUTERUS,,,,,
Ambloplites rupestris,Rock Bass,Ambloplites rupestris,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,AMBLOPLITES,C-W,TC,M,MG,A
Ameiurus catus,White catfish,Ameiurus catus,CHORDATA,ACTINOPTERYGII,SILURIFORMES,ICTALURIDAE,AMEIURUS,W,TC,M,MG,A
Ameiurus melas,Black Bullhead,Ameiurus melas,CHORDATA,ACTINOPTERYGII,SILURIFORMES,ICTALURIDAE,AMEIURUS,,,,,
Ameiurus natalis,Yellow bullhead,Ameiurus natalis,CHORDATA,ACTINOPTERYGII,SILURIFORMES,ICTALURIDAE,AMEIURUS,W-B,GF,T,MG,A
Ameiurus nebulosus,Brown bullhead,Ameiurus nebulosus,CHORDATA,ACTINOPTERYGII,SILURIFORMES,ICTALURIDAE,AMEIURUS,W,GF,T,MG,N
Amia calva,Bowfin,Amia calva,CHORDATA,ACTINOPTERYGII,AMIIFORMES,AMIIDAE,AMIA,,,,,
Ammodytes americanus,American sand lance,Ammodytes americanus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,AMMODYTIDAE,AMMODYTES,,,,,
Anchoa mitchilli,Bay Anchovy,Anchoa mitchilli,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,ENGRAULIDAE,ANCHOA,,,,,
Anguilla rostrata,American eel,Anguilla rostrata,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,ANGUILLIDAE,ANGUILLA,W,TC,T,FD,N
Apeltes quadracus,Fourspine stickleback,Apeltes quadracus,CHORDATA,ACTINOPTERYGII,GASTEROSTEIFORMES,GASTEROSTEIDAE,APELTES,C-W,WC,M,FD,N
Astroscopus guttatus,NORTHERN STARGAZER,Astroscopus guttatus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,URANOSCOPIDAE,ASTROSCOPUS,,,,,
Balistes capriscus,GRAY TRIGGERFISH,Balistes capriscus,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,BALISTIDAE,BALISTES,,,,,
Brevoortia tyrannus,MENHADEN,Brevoortia tyrannus,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,BREVOORTIA,,,,,
Campostoma anomalum,Stoneroller,Campostoma anomalum,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,CAMPOSTOMA,,,,,
Caranx bartholomaei,YELLOW JACK,Caranx bartholomaei,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CARANGIDAE,CARANX,,,,,
Carassius auratus,Goldfish,Carassius auratus,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,CARASSIUS,W,GF,T,MG,A
Carcharhinus plumbeus,SANDBAR SHARK (BROWN),Carcharhinus plumbeus,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,CARCHARHINUS,,,,,
Catostomus catostomus,Longnose sucker,Catostomus catostomus,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CATOSTOMIDAE,CATOSTOMUS,,,,,
Catostomus commersoni,White sucker,Catostomus commersonii,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CATOSTOMIDAE,CATOSTOMUS,C-W,GF,T,FD,N
Catostomus commersonii,White sucker,Catostomus commersonii,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CATOSTOMIDAE,CATOSTOMUS,C-W,GF,T,FD,N
Centrarchidae,Bluegill X Green,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
Centrarchidae,Bluegill X Pumpkinseed,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
Centrarchidae,Bluegill X Red breast,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
Centrarchidae,Green X Redbreast,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
Centrarchidae,Hybrid sunfish,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
Centrarchidae,Pumpkinseed X Green,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
Centrarchidae,Pumpkinseed X Red breast,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
Centrarchidae,Unknown sunfish,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
Clupea harengus,Atlantic herring,Clupea harengus,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,CLUPEA,,,,,
Clupeidae,Herring,Clupeidae,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,NA,,,,,
Cottus cognatus,Slimy sculpin,Cottus cognatus,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,COTTIDAE,COTTUS,C,BI,I,FS,N
Ctenopharyngodon idella,Grass Carp,Ctenopharyngodon idella,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,CTENOPHARYNGODON,,,,,
Culaea inconstans,Brook Stickleback,Culaea inconstans,CHORDATA,ACTINOPTERYGII,GASTEROSTEIFORMES,GASTEROSTEIDAE,CULAEA,,,,,
Cyclopterus lumpus,LUMPFISH,Cyclopterus lumpus,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,CYCLOPTERIDAE,CYCLOPTERUS,,,,,
Cynoscion regalis,Weakfish,Cynoscion regalis,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,CYNOSCION,,,,,
Cyprinidae,Unknown minnow,Cyprinidae,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,NA,,,,,
Cyprinodon variegatus,Sheepshead Minnow,Cyprinodon variegatus,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,CYPRINODONTIDAE,CYPRINODON,,,,,
Cyprinus carpio,Carp,Cyprinus carpio,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,CYPRINUS,W,GF,T,MG,A
Cyprinus carpio,Koi,Cyprinus carpio,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,CYPRINUS,W,GF,T,MG,A
Decapterus macarellus,MACKEREL SCAD,Decapterus macarellus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CARANGIDAE,DECAPTERUS,,,,,
Dormitator maculatus,Fat sleeper goby,Dormitator maculatus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ELEOTRIDAE,DORMITATOR,,,,,
Dorosoma cepedianum,Gizzard shad,Dorosoma cepedianum,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,DOROSOMA,,,,,
Enchelyopus cimbrius,FOURBEARD ROCKLING,Enchelyopus cimbrius,CHORDATA,ACTINOPTERYGII,GADIFORMES,GADIDAE,ENCHELYOPUS,,,,,
Enneacanthus obesus,Banded Sunfish,Enneacanthus obesus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,ENNEACANTHUS,,,,,
Erimyzon oblongus,Creek chubsucker,Erimyzon oblongus,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CATOSTOMIDAE,ERIMYZON,W,GF,I,FS,N
Esocidae,Chain Pickerel X Northern Pike,Esocidae,CHORDATA,ACTINOPTERYGII,ESOCIFORMES,ESOCIDAE,NA,,,,,
Esocidae,Chain pickerel X Redfin pickerel,Esocidae,CHORDATA,ACTINOPTERYGII,ESOCIFORMES,ESOCIDAE,NA,,,,,
Esociformes,Tiger Muskie (Tiger Muskellunge),Esociformes,CHORDATA,ACTINOPTERYGII,ESOCIFORMES,NA,NA,,,,,
Esox americanus,Redfin pickerel,Esox americanus,CHORDATA,ACTINOPTERYGII,ESOCIFORMES,ESOCIDAE,ESOX,W-B,TC,M,MG,N
Esox lucius,Northern Pike,Esox lucius,CHORDATA,ACTINOPTERYGII,ESOCIFORMES,ESOCIDAE,ESOX,,,,,
Esox niger,Chain pickerel,Esox niger,CHORDATA,ACTINOPTERYGII,ESOCIFORMES,ESOCIDAE,ESOX,W,TC,M,MG,N
Etheostoma fusiforme,Swamp darter,Etheostoma fusiforme,CHORDATA,ACTINOPTERYGII,PERCIFORMES,PERCIDAE,ETHEOSTOMA,W-B,BI,I,MG,N
Etheostoma olmstedi,Tessellated darter,Etheostoma olmstedi,CHORDATA,ACTINOPTERYGII,PERCIFORMES,PERCIDAE,ETHEOSTOMA,C-W,BI,M,FS,N
Etropus microstomus,SMALLMOUTH FLOUNDER,Etropus microstomus,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,PARALICHTHYIDAE,ETROPUS,,,,,
Etrumeus teres,ROUND HERRING,Etrumeus teres,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,ETRUMEUS,,,,,
Exoglossum maxillingua,Cutlips minnow,Exoglossum maxillingua,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,EXOGLOSSUM,W,BI,I,FS,N
Fistularia petimba,RED CORNETFISH,Fistularia petimba,CHORDATA,ACTINOPTERYGII,GASTEROSTEIFORMES,FISTULARIIDAE,FISTULARIA,,,,,
Fistularia tabacaria,BLUESPOTTED CORNET,Fistularia tabacaria,CHORDATA,ACTINOPTERYGII,GASTEROSTEIFORMES,FISTULARIIDAE,FISTULARIA,,,,,
Fundulus diaphanus,Banded killifish,Fundulus diaphanus,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,FUNDULIDAE,FUNDULUS,W,TC,T,MG,N
Fundulus heteroclitus,Mummichog,Fundulus heteroclitus,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,FUNDULIDAE,FUNDULUS,C-W,GF,T,MG,N
Fundulus majalis,Striped Killifish,Fundulus majalis,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,FUNDULIDAE,FUNDULUS,,,,,
Gadus morhua,ATLANTIC COD,Gadus morhua,CHORDATA,ACTINOPTERYGII,GADIFORMES,GADIDAE,GADUS,,,,,
Gambusia affinis,Western Mosquito Fish,Gambusia affinis,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,POECILIIDAE,GAMBUSIA,,,,,
Gambusia holbrooki,Eastern Mosquito Fish,Gambusia holbrooki,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,POECILIIDAE,GAMBUSIA,,,,,
Gasterosteus aculeatus,Threespine Stickleback,Gasterosteus aculeatus,CHORDATA,ACTINOPTERYGII,GASTEROSTEIFORMES,GASTEROSTEIDAE,GASTEROSTEUS,,,,,
Gasterosteus wheatland,Blackspotted stickleback,Gasterosteus wheatland,CHORDATA,ACTINOPTERYGII,GASTEROSTEIFORMES,GASTEROSTEIDAE,GASTEROSTEUS,,,,,
Gobiosoma bosci,Naked goby,Gobiosoma bosci,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,GOBIOSOMA,,,,,
Hemitripterus americanus,SEA RAVEN,Hemitripterus americanus,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,HEMITRIPTERIDAE,HEMITRIPTERUS,,,,,
Hippocampus sp.,SEAHORSE,Hippocampus sp.,CHORDATA,ACTINOPTERYGII,GASTEROSTEIFORMES,SYNGNATHIDAE,HIPPOCAMPUS,,,,,
Homarus americanus,AMERICAN LOBSTER,Homarus americanus,ARTHROPODA,MALACOSTRACA,DECAPODA,NEPHROPIDAE,HOMARUS,,,,,
Ictalurus punctatus,Channel Catfish,Ictalurus punctatus,CHORDATA,ACTINOPTERYGII,SILURIFORMES,ICTALURIDAE,ICTALURUS,,,,,
Illex illecebrosus,SHORTFIN SQUID,Illex illecebrosus,MOLLUSCA,CEPHALOPODA,TEUTHIDA,OMMASTREPHIDAE,ILLEX,,,,,
Labidesthes sicculus,Brook Silverside,Labidesthes sicculus,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE,LABIDESTHES,,,,,
Lampetra appendix,American Brook lamprey,Lampetra appendix,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,LAMPETRA,C,NF,I,FS,A
Leiostomus xanthurus,Spot,Leiostomus xanthurus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,LEIOSTOMUS,,,,,
Lepomis auritus,Redbreast sunfish,Lepomis auritus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,LEPOMIS,W,GF,M,MG,N
Lepomis cyanellus,Green sunfish,Lepomis cyanellus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,LEPOMIS,W,GF,T,FD,A
Lepomis gibbosus,Pumpkinseed,Lepomis gibbosus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,LEPOMIS,W,GF,M,MG,N
Lepomis gulosus,Warmouth,Lepomis gulosus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,LEPOMIS,,,,,
Lepomis macrochirus,Bluegill sunfish,Lepomis macrochirus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,LEPOMIS,W,GF,T,MG,A
Leuciscus idus,Golden Orfe,Leuciscus idus,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,LEUCISCUS,,,,,
Limanda ferruginea,YELLOWTAIL FLOUNDER,Limanda ferruginea,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,PLEURONECTIDAE,LIMANDA,,,,,
Liparis atlanticus,SEASNAIL,Liparis atlanticus,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,LIPARIDAE,LIPARIS,,,,,
